inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
1,1803,2020,0,0,10,75,46,6,12,0,0,1,35.208012,-85.89325,2,1,45.59999847,3700,2016,100
1,1830,2021,0,2200,10,70,57,8,0,0,0,0,43.58317,-124.18039,2,1,13,2150,2017,100
2,2015,2017,7000,0,10,84,68,3,0,0,0,0,38.976387,-76.330001,2,1,13,2713,2017,100
1,142,2019,0,0,10,66,55,3,0,0,0,0,42.134723,-87.89167,2,1,79,5001,2018,100
2,1800,2020,0,0,10,68,0,7,12,0,0,2,40.188573,-77.178235,2,1,16,4008,2019,100
1,1325,2022,0,2700,10,66,52,8,14,0,0,0,38.525472,-77.859639,2,1,5,5000,2022,100
2,1532,2013,0,9500,10,82,70,4,0,0,0,0,28.228055,-82.15583,2,1,20,4999,2012,103
2,2131,2013,15000,0,10,43,25,6,0,0,0,0,37.489955,-122.259696,4,1,47,2600,1949,108
1,1816,2020,0,2600,10,79,66,10,0,1,0,0,26.555,-80.08583,2,1,70,3489,1969,108
1,1750,2021,0,0,10,57,14,17,24,0,0,0,34.518556,-109.37875,2,1,180,5322,1972,108
2,125,2015,11000,0,10,73,72,5,0,0,0,0,40.105834,-76.27639,2,1,1,4102,1974,108
1,1630,2016,0,0,10,39,1,8,0,0,0,0,41.383609,-72.505836,2,1,2850,2722,1983,108
1,1722,2015,3000,12000,10,81,70,9,0,1,0,0,29.944444,-90.285278,2,1,3,3900,2002,108
1,2100,2014,0,0,10,93,50,9,0,0,0,0,38.508888,-122.812774,2,1,53,4831,1978,110
1,1100,2015,1000,1900,10,64,61,6,0,1,0,0,35.686111,-91.770278,2,1,71,6002,1978,110
1,1806,2015,0,3600,10,32,19,11,0,0,0,0,40.821945,-72.866943,2,1,56,4200,1979,110
1,1434,2013,0,18000,10,77,68,5,0,0,0,0,38.797222,-76.071945,2,1,70,5500,1981,110
2,1820,2017,0,0,10,81,61,5,0,0,0,0,25.863611,-81.034721,2,1,31,2060,1984,110
2,1545,2014,0,0,10,16,3,3,0,0,0,0,41.128334,-74.346664,2,1,24,3471,1978,112
2,1456,2017,0,7500,10,43,36,5,0,1,1,0,41.253612,-72.885559,2,1,78,5600,1978,112
